x,y
2.4772219977214887,7.33641531599415
4.792870482671848,18.741604645655237
4.835067284178943,13.324491972012918
7.743619771254627,20.346796203968665
10.320054518313198,25.527320041480532
10.390539945299015,24.687084665429012
13.76935957782139,29.551074064225638
15.56530475813165,21.36233235223743
17.496473593717173,23.16833619153836
18.45142093543621,25.893440600986096
20.65237179006911,24.962304143016482
24.45799027207235,17.50672535685751
26.394143270307946,18.408789256414664
28.143390915562616,15.513273956991226
29.61976096298038,5.540529190091978
32.75433733319298,5.67238980651069
33.25919524522449,-0.687106918182157
34.411036896208984,-4.539984149691273
36.130962432279645,-2.0545251403369296
38.230778651479916,-4.279757097677448
41.9168213155411,-9.433788400481195
44.68357449705987,-9.437911875868048
46.19145310142814,-17.91125711593409
48.69054654562435,-15.865012080526498
49.93821607965671,-12.414917004564195
51.28333440980436,-16.542260068296272
52.67429180723715,-11.181037531486764
55.47942073618928,-9.646178545891308
58.3283812518082,-6.790406243379767
60.82690221787798,4.839567785602316
60.68065494241823,-4.211973931370542
64.15385653548397,10.515145399827622
65.38656756606055,9.3785457938801
68.31736790783799,13.496496986359913
68.78210734544183,12.062713572656685
72.52445226991685,24.845950831032916
73.67356792790058,20.383706100169828
76.04092058328388,23.517443903277268
77.84150354254,27.90422641841
78.32281314999085,26.37634503436378
81.75641719641554,22.006564088593315
84.41941121609305,16.92221396326333
86.34808320710744,18.066711801341025
86.1103391126733,24.48088327566856
88.97384514549232,13.466812816008257
91.38143522406484,10.096395319308042
92.50594084066643,10.327699755368306
96.44582007071187,2.7022844143845646
98.29674463169881,-2.3504407245089753
100.49945931334175,-3.030359300376375
